Marca,Modelo,Año,Color,Precio_EUR,Potencia_HP,Aceleracion_0_100_s,Pais_fabricacion,VIN
Bugatti,Chiron,2016,Azul eléctrico,1955400.0,1499,2.58,Francia,VF9HE9MS85RETF9UK
Aston Martin,DBS Superleggera,2023,Azul,248100.0,717,3.42,Reino Unido,SCF8K8U9AL47BL91L
Nissan,GT-R Nismo,2024,Negro,184200.0,584,2.9,Japón,JN19C68B1HEEE1N5X
Porsche,911 GT3 (992),2024,Verde lima,183500.0,490,3.4,Alemania,WP0X8ACE2T0HTECD4
Porsche,911 Turbo S (992),2024,Verde lima,185600.0,636,3.01,Alemania,WP0LWFUS2RLS26VW2
McLaren,570S,2023,Gris mate,186600.0,555,3.19,Reino Unido,SBM3CJVSKJWAUJ39W
BMW,M4 Competition (G82),2022,Rojo burdeos,109500.0,491,4.02,Alemania,WBS8STLV1BWCW5GLA
Lamborghini,Aventador S,2023,Azul eléctrico,335200.0,760,3.0,Italia,ZHWARR2AM9A9B3TKK
BMW,M4 Competition (G82),2022,Azul,109200.0,505,3.88,Alemania,WBS0G0WYY0YFDXWTV
Lamborghini,Huracán EVO,2024,Azul eléctrico,250600.0,639,2.89,Italia,ZHWD3B93N292KM536
Nissan,GT-R Nismo,2018,Rojo burdeos,189300.0,592,2.87,Japón,JN1BWP25KLPR4U4JX
Porsche,911 GT3 (992),2022,Azul,175900.0,531,3.56,Alemania,WP0365XJULGN8YYYB
McLaren,570S,2015,Amarillo,133000.0,584,3.11,Reino Unido,SBM1W7DTT2MND0CJG
Lamborghini,Huracán EVO,2024,Blanco,228300.0,634,3.03,Italia,ZHWMS1BCMMXX28X9W
Aston Martin,DBS Superleggera,2023,Rojo,298000.0,726,3.19,Reino Unido,SCFKL1DMN49H1MRAR
Porsche,911 Turbo S (992),2022,Rojo,230500.0,625,2.56,Alemania,WP0HT5YFPVKDKB7P2
McLaren,720S,2017,Verde lima,238100.0,697,3.01,Reino Unido,SBMZ9CMXKL968D2WR
Lamborghini,Aventador S,2018,Blanco,322800.0,775,2.91,Italia,ZHWW26K1KDLCCJHLV
Lamborghini,Aventador S,2018,Rojo,380400.0,721,2.89,Italia,ZHWZ6DNLH9JFA4KMV
Ferrari,F8 Tributo,2019,Amarillo,251700.0,732,3.0,Italia,ZFFUSBVNKMC5W85W6
BMW,M4 Competition (G82),2024,Verde lima,120000.0,504,3.84,Alemania,WBSEE9GPSBMLWY14X
Lamborghini,Aventador S,2019,Azul eléctrico,392800.0,730,3.01,Italia,ZHW6S6L4KWSTFFAXR
Lamborghini,Huracán EVO,2023,Gris,283300.0,663,2.78,Italia,ZHWUMFB4Y7WL6VBKS
Lamborghini,Huracán EVO,2021,Verde lima,177500.0,621,2.79,Italia,ZHW35D8099VJRVCDL
Aston Martin,Vantage,2020,Gris,137300.0,494,3.36,Reino Unido,SCFN50ZS8J3P30N7J
Ferrari,488 GTB,2021,Gris,215200.0,672,3.19,Italia,ZFFRUDBX8CRPT9J88
Ferrari,488 GTB,2022,Gris mate,242800.0,678,3.02,Italia,ZFFU858TWUBWZUVRN
McLaren,570S,2018,Azul eléctrico,141300.0,578,3.35,Reino Unido,SBMHTP22XP7X59HW5
Lamborghini,Huracán EVO,2024,Gris mate,278700.0,626,2.91,Italia,ZHW4K3M0XWZXMTNJJ
Porsche,911 Turbo S (992),2024,Negro,229800.0,683,2.76,Alemania,WP03XA3J1JY58Z4HG
Porsche,911 GT3 (992),2023,Rojo,174800.0,486,3.33,Alemania,WP07B9VPBGFYB2M59
Porsche,911 GT3 (992),2024,Gris mate,166100.0,523,3.23,Alemania,WP0ADN3G73AWSXKXE
Chevrolet,Corvette C8 Z06,2024,Naranja,120900.0,678,2.65,EE.UU.,1G1U0JVRL26NUHMHH
Lamborghini,Aventador S,2020,Gris mate,273600.0,739,3.06,Italia,ZHWCMBL0040T66VNE
Aston Martin,Vantage,2022,Amarillo,166300.0,515,3.6,Reino Unido,SCF3D7758RB7BGJW4
BMW,M4 Competition (G82),2023,Negro,70900.0,521,3.85,Alemania,WBSA4H3RRM3GGBV4Y
McLaren,720S,2024,Amarillo,244400.0,734,2.84,Reino Unido,SBM9UD6VG6244GV1Y
Porsche,911 GT3 (992),2022,Blanco,217600.0,510,3.4,Alemania,WP0S0ZYXUS4E0RX7N
Aston Martin,DBS Superleggera,2023,Gris mate,241300.0,729,3.35,Reino Unido,SCF5PM5WJCB2RCKR6
Chevrolet,Corvette C8 Stingray,2020,Azul,81900.0,464,3.02,EE.UU.,1G11FYR4KYV12M3M2
Chevrolet,Corvette C8 Z06,2024,Gris mate,165800.0,674,2.86,EE.UU.,1G19E429Y1X2F80B3
Aston Martin,Vantage,2018,Amarillo,125100.0,513,3.55,Reino Unido,SCF7YE4CUMSL78LD2
Porsche,911 Turbo S (992),2021,Gris,245000.0,632,2.67,Alemania,WP0APAVF286RA1Y50
Ferrari,488 GTB,2021,Verde lima,196500.0,673,3.05,Italia,ZFF8D9HVTFB2BY5KN
Nissan,GT-R Nismo,2015,Azul eléctrico,190600.0,574,2.89,Japón,JN16PZEWDH3C79XYB
Porsche,911 Turbo S (992),2023,Negro,212700.0,648,2.67,Alemania,WP0MW263BA1YZ74FV
Aston Martin,DBS Superleggera,2020,Azul,313900.0,715,3.23,Reino Unido,SCF7LE6FTCRE4XY3U
Porsche,911 GT3 (992),2024,Azul,202000.0,514,3.56,Alemania,WP0NHCM823H87WWTA
Aston Martin,DBS Superleggera,2019,Gris mate,314500.0,738,3.42,Reino Unido,SCFAE5TYDXWH0UFFL
Nissan,GT-R Nismo,2023,Rojo,176400.0,572,2.68,Japón,JN1T22XZ2USX6VYF5
Ferrari,488 GTB,2018,Naranja,205500.0,665,2.96,Italia,ZFFNJF51XKAW1WW8S
Porsche,911 Turbo S (992),2020,Gris,182300.0,654,2.59,Alemania,WP0M2JUHD5M3ZP37R
Chevrolet,Corvette C8 Stingray,2022,Naranja,90800.0,500,2.97,EE.UU.,1G14D8MF7XDELNHZU
Bugatti,Chiron,2017,Verde lima,2077200.0,1514,2.44,Francia,VF9JVP4CW55SBJ46A
Bugatti,Chiron,2018,Azul,2637300.0,1505,2.45,Francia,VF91JT8XNTV1JC41E
Aston Martin,DBS Superleggera,2022,Gris mate,257300.0,713,3.46,Reino Unido,SCFVWK8KAGEXPJ39N
Aston Martin,Vantage,2019,Azul eléctrico,164000.0,499,3.53,Reino Unido,SCFJBB9AF72L8VGPB
McLaren,720S,2022,Verde lima,245400.0,716,2.89,Reino Unido,SBMAK71SY9WL90ZMJ
Audi,R8 V10 Performance,2023,Gris mate,159400.0,633,3.35,Alemania,WUA9VM7X287K1SEVN
Lamborghini,Huracán EVO,2021,Azul,244300.0,631,3.05,Italia,ZHW15V5ZSCYLZ3PS9
Nissan,GT-R Nismo,2018,Blanco,210100.0,617,2.72,Japón,JN1NKV5DVTVJAUT85
Porsche,911 GT3 (992),2021,Rojo burdeos,246400.0,514,3.53,Alemania,WP0R50THTBW8CBRJY
Ferrari,F8 Tributo,2023,Negro,230300.0,687,2.94,Italia,ZFFYWE109GKX7JTBY
McLaren,570S,2024,Blanco,133000.0,595,3.24,Reino Unido,SBMXUGX7PZ1GA39LW
Porsche,911 GT3 (992),2023,Gris,197300.0,512,3.38,Alemania,WP0N3JJ4ZCB6ALLKH
Chevrolet,Corvette C8 Stingray,2024,Negro,91000.0,511,3.09,EE.UU.,1G1PYTMA6D9ZEC7TW
Lamborghini,Huracán EVO,2019,Verde lima,242200.0,638,2.95,Italia,ZHWNKP8VMBK17E89E
Aston Martin,Vantage,2024,Amarillo,192400.0,516,3.64,Reino Unido,SCF41XU2C62Z3X7G2
Lamborghini,Huracán EVO,2019,Amarillo,234700.0,651,2.89,Italia,ZHWDCBN159HNNAZFZ
Lamborghini,Huracán EVO,2020,Negro,254000.0,656,2.99,Italia,ZHWA06DZXPBV6BNRU
McLaren,720S,2022,Amarillo,256400.0,721,2.78,Reino Unido,SBMW78YPJ25LY7RJW
Aston Martin,Vantage,2024,Gris,163700.0,499,3.39,Reino Unido,SCFC4XPB0Y6SV579S
Chevrolet,Corvette C8 Z06,2023,Amarillo,98000.0,685,2.59,EE.UU.,1G1PCMCS7EUYHHSNX
Chevrolet,Corvette C8 Z06,2023,Negro,153900.0,688,2.69,EE.UU.,1G1YYE81634Y1BRL9
Aston Martin,Vantage,2018,Gris mate,152500.0,523,3.56,Reino Unido,SCFYWCJYYZGM12U7R
BMW,M4 Competition (G82),2023,Naranja,96200.0,504,4.01,Alemania,WBSYU8KRY7YXXAZ3S
Bugatti,Chiron,2021,Negro,2533300.0,1501,2.08,Francia,VF9L3128PN1MR6UNN
Nissan,GT-R Nismo,2023,Amarillo,190600.0,587,2.94,Japón,JN14K7MA1L2WUZTH1
Audi,R8 V10 Performance,2022,Rojo burdeos,161800.0,642,2.8,Alemania,WUARL6Y6DMYZMAKPU
McLaren,720S,2020,Negro,277300.0,691,2.9,Reino Unido,SBMG3KSE56MH4XUDN
Lamborghini,Huracán EVO,2021,Gris,206200.0,612,2.84,Italia,ZHWLCTSGZWB1BYDWH
Nissan,GT-R Nismo,2021,Naranja,207700.0,622,2.72,Japón,JN1F9KUTL4DTHJAGF
Chevrolet,Corvette C8 Z06,2023,Azul,151900.0,674,2.7,EE.UU.,1G1KWYUU2CAH81GHB
Ferrari,F8 Tributo,2019,Blanco,336700.0,737,2.87,Italia,ZFFK4TP5S8F7Z7GY5
McLaren,570S,2020,Blanco,161200.0,574,3.03,Reino Unido,SBMRFUD96BDHVTG3Y
Chevrolet,Corvette C8 Stingray,2021,Negro,75300.0,493,2.94,EE.UU.,1G19PXPK123FGRKP7
McLaren,570S,2021,Negro,168000.0,565,3.27,Reino Unido,SBMK5FKDAVLT2H5YX
Nissan,GT-R Nismo,2015,Naranja,133600.0,612,2.75,Japón,JN1GZ4NTLW13BV80S
McLaren,720S,2018,Amarillo,235600.0,736,2.83,Reino Unido,SBMAF8TLVX8GBLJC5
Nissan,GT-R Nismo,2023,Azul,151200.0,590,2.89,Japón,JN111E5WCGA3SUG95
Chevrolet,Corvette C8 Stingray,2020,Azul eléctrico,105300.0,515,3.07,EE.UU.,1G1UWY7EDCHJYR8UD
McLaren,720S,2023,Naranja,242100.0,732,2.9,Reino Unido,SBM1JGFVFPW50X8LS
McLaren,720S,2021,Amarillo,200400.0,706,2.86,Reino Unido,SBM633MFXN20GZRKS
Chevrolet,Corvette C8 Stingray,2021,Azul eléctrico,98200.0,516,3.19,EE.UU.,1G1YMW85LU9G7L28Y
Bugatti,Chiron,2020,Negro,1750000.0,1502,2.4,Francia,VF9GLUALY9V3C93EB
Ferrari,F8 Tributo,2022,Rojo,241000.0,711,2.91,Italia,ZFFVNYWY797N5DJBA
Bugatti,Chiron,2019,Rojo burdeos,2285900.0,1502,2.24,Francia,VF90BT4FY6M1J7SP6
Aston Martin,DBS Superleggera,2021,Gris mate,309900.0,729,3.44,Reino Unido,SCFH0M2VL8D3JL34R
Lamborghini,Huracán EVO,2022,Amarillo,242800.0,621,2.84,Italia,ZHW1DARSJ97KYUK8N
Lamborghini,Aventador S,2024,Negro,245000.0,749,2.77,Italia,ZHWU5UPBUU52ZMWE9
Audi,R8 V10 Performance,2019,Negro,202200.0,622,2.93,Alemania,WUAWU5XK98KFUJ342
Lamborghini,Aventador S,2021,Blanco,268300.0,725,2.89,Italia,ZHWG5Z17WBBS25TKL
BMW,M4 Competition (G82),2023,Blanco,83600.0,515,3.91,Alemania,WBSBDB5G6U10S70AX
BMW,M4 Competition (G82),2024,Negro,119900.0,499,3.67,Alemania,WBSPSK5880C71C1DX
Porsche,911 GT3 (992),2022,Amarillo,165400.0,506,3.32,Alemania,WP0KW9XU17A9VYX1V
McLaren,570S,2015,Amarillo,194600.0,576,3.35,Reino Unido,SBMUTYJ2YSYZYE31U
Aston Martin,DBS Superleggera,2023,Gris,269100.0,721,3.31,Reino Unido,SCFX7YNVU1AJCXNVE
McLaren,570S,2022,Naranja,239200.0,551,3.1,Reino Unido,SBMJRTPXADJ5X8BCA
Audi,R8 V10 Performance,2022,Negro,229400.0,606,3.2,Alemania,WUAFD31NGNABZ24MU
Lamborghini,Aventador S,2022,Blanco,356600.0,734,2.86,Italia,ZHW2H9Z63VW7662Z6
Porsche,911 Turbo S (992),2022,Naranja,179100.0,661,2.53,Alemania,WP0JVZY69PM87CVT0
McLaren,570S,2019,Blanco,186000.0,579,3.08,Reino Unido,SBMTPF9TE8UTTWP1V
Porsche,911 GT3 (992),2021,Amarillo,145000.0,519,3.42,Alemania,WP0MLSAU3S293JTSK
Aston Martin,DBS Superleggera,2019,Gris,270400.0,727,3.39,Reino Unido,SCFVDVNSCK52MR8JD
Lamborghini,Huracán EVO,2021,Gris mate,227800.0,658,2.8,Italia,ZHWA11GFKUZ73PGZN
Lamborghini,Aventador S,2017,Verde lima,381300.0,761,2.95,Italia,ZHWMFENKJ8RF6LCPW
Lamborghini,Aventador S,2023,Amarillo,394000.0,749,2.98,Italia,ZHW53U8XDV4PSSGYU
BMW,M4 Competition (G82),2022,Naranja,98200.0,496,3.63,Alemania,WBSZ8YW8Z7DWX2AP7
Nissan,GT-R Nismo,2018,Rojo,207500.0,585,2.89,Japón,JN197PKPKJY199T3K
Aston Martin,Vantage,2020,Amarillo,147800.0,516,3.82,Reino Unido,SCF2TXKVMRX88ZWVV
Porsche,911 GT3 (992),2024,Gris,171200.0,511,3.47,Alemania,WP0ESM2VH5A1K75C3
McLaren,720S,2019,Rojo,316800.0,720,2.76,Reino Unido,SBMHDFV5LS2Y1MUBT
Ferrari,488 GTB,2019,Amarillo,215700.0,673,3.07,Italia,ZFF76AJ9BG59KTA3L
Porsche,911 Turbo S (992),2023,Blanco,206700.0,655,2.71,Alemania,WP0GR73CFFYZZR7H3
Aston Martin,DBS Superleggera,2021,Rojo,289400.0,733,3.28,Reino Unido,SCFTE1H6F8KTV5ZD9
Chevrolet,Corvette C8 Stingray,2024,Verde lima,91000.0,486,2.98,EE.UU.,1G120WJA03XHGRNDZ
Aston Martin,Vantage,2022,Amarillo,171100.0,547,3.79,Reino Unido,SCFK5S78HUDZLMGVH
McLaren,570S,2020,Rojo,207600.0,563,3.11,Reino Unido,SBM80X00BTYS541V7
Chevrolet,Corvette C8 Stingray,2024,Blanco,87700.0,532,3.11,EE.UU.,1G1RB07WPCV0E1HNC
Lamborghini,Huracán EVO,2022,Blanco,238800.0,649,2.75,Italia,ZHW2HYD0CS7HZYACB
Lamborghini,Huracán EVO,2020,Negro,200000.0,630,2.73,Italia,ZHWEHC1GW0U3LUTH7
BMW,M4 Competition (G82),2021,Negro,123100.0,492,3.9,Alemania,WBSTVL0SCM51EU4FC
Porsche,911 Turbo S (992),2020,Rojo,240900.0,656,2.68,Alemania,WP0XU1MGF6XFM3MF4
BMW,M4 Competition (G82),2021,Rojo,94400.0,512,3.73,Alemania,WBSRL483V3KU4633J
Chevrolet,Corvette C8 Z06,2024,Azul,156900.0,667,2.56,EE.UU.,1G10WRWU6M1WMC660
Lamborghini,Huracán EVO,2023,Negro,244800.0,616,2.77,Italia,ZHWNTXVBF8238KUZN
Aston Martin,Vantage,2019,Naranja,145000.0,506,3.47,Reino Unido,SCFXKMJP093FZ3UNC
McLaren,720S,2024,Verde lima,283000.0,714,2.84,Reino Unido,SBMMMKTMA6W2YE0EE
BMW,M4 Competition (G82),2023,Gris,92200.0,514,3.84,Alemania,WBSDSB0P04N179JVC
Chevrolet,Corvette C8 Stingray,2022,Naranja,92700.0,499,3.01,EE.UU.,1G1MFBC1BG618R7MD
Aston Martin,Vantage,2020,Gris mate,166300.0,519,3.49,Reino Unido,SCFAU4798CCRPLUF2
McLaren,720S,2021,Naranja,277500.0,728,2.82,Reino Unido,SBMZYD5X4AZRZPYWB
Aston Martin,DBS Superleggera,2021,Verde lima,230100.0,734,3.37,Reino Unido,SCFXHS2DECVFSDKUR
Porsche,911 Turbo S (992),2020,Negro,212400.0,663,2.65,Alemania,WP0VNE2WZMUVWUTPY
Aston Martin,DBS Superleggera,2021,Azul,289300.0,722,3.4,Reino Unido,SCFG4N5JZZ5HE674P
Ferrari,F8 Tributo,2024,Gris mate,246600.0,707,2.87,Italia,ZFFHC8G0KJNSS0XZ9
Chevrolet,Corvette C8 Z06,2023,Verde lima,173300.0,660,2.73,EE.UU.,1G1EWWM5LCUTDVV1P
Porsche,911 GT3 (992),2023,Blanco,193700.0,503,3.37,Alemania,WP0ETUSKL1289MSRD
Chevrolet,Corvette C8 Z06,2024,Amarillo,148100.0,669,2.81,EE.UU.,1G1MVK5A6B2Y1BC4R
Aston Martin,Vantage,2020,Azul eléctrico,133900.0,513,3.7,Reino Unido,SCF0ALTSA78TX4RD8
McLaren,720S,2024,Naranja,327000.0,717,2.82,Reino Unido,SBMKCZWHC09V4SFMY
BMW,M4 Competition (G82),2024,Blanco,118200.0,506,3.91,Alemania,WBSKSBTFBUWRB6S2F
Porsche,911 Turbo S (992),2022,Gris mate,278000.0,662,2.67,Alemania,WP04DYT7P46ZLTVAG
McLaren,720S,2024,Gris,313800.0,703,2.89,Reino Unido,SBMMSCS20G78LWYW4
Lamborghini,Huracán EVO,2022,Naranja,222300.0,650,2.81,Italia,ZHWXHAA16BJ7SA40H
Porsche,911 GT3 (992),2022,Verde lima,176600.0,501,3.43,Alemania,WP036RKV303RCFPFC
Lamborghini,Huracán EVO,2019,Blanco,230800.0,609,2.93,Italia,ZHWC4E6AA2TZ6LLCD
Chevrolet,Corvette C8 Z06,2023,Rojo,144400.0,677,2.68,EE.UU.,1G1SL0RDWE4HP24DT
Aston Martin,Vantage,2018,Azul eléctrico,131900.0,524,3.62,Reino Unido,SCFAG6LR8MBLX4M1V
Chevrolet,Corvette C8 Z06,2023,Azul,107200.0,645,2.69,EE.UU.,1G117KFUF538PYJC9
Chevrolet,Corvette C8 Z06,2024,Blanco,145600.0,669,2.71,EE.UU.,1G18HL2TJ1EMMFD3F
McLaren,570S,2015,Amarillo,176600.0,559,3.13,Reino Unido,SBMY4C39D85BDFZ5U
BMW,M4 Competition (G82),2022,Gris,122200.0,525,3.83,Alemania,WBSBFKJVCHX5PSRAX
BMW,M4 Competition (G82),2024,Rojo,92000.0,492,3.98,Alemania,WBSRU5K9BGRWKWJRX
Lamborghini,Huracán EVO,2020,Naranja,277300.0,644,2.81,Italia,ZHWC00ZPYSTSPRYK4
Nissan,GT-R Nismo,2016,Azul,236900.0,635,2.55,Japón,JN1UGNZYP3RUFFX2P
Ferrari,488 GTB,2019,Rojo burdeos,191000.0,695,2.94,Italia,ZFFW9GFA075RS5CUA
Nissan,GT-R Nismo,2020,Rojo burdeos,230900.0,600,2.9,Japón,JN1KT56N9HDSK0AY0
Lamborghini,Aventador S,2023,Gris mate,384400.0,736,3.07,Italia,ZHWJUABPB8CYBZ7VD
Porsche,911 Turbo S (992),2023,Verde lima,238200.0,658,2.89,Alemania,WP06A5J5R7H4M1FXY
Lamborghini,Aventador S,2017,Gris mate,352500.0,731,2.99,Italia,ZHW26D0RHYXMUMPML
McLaren,570S,2020,Blanco,182900.0,591,3.14,Reino Unido,SBM60WS817HFPVXZT
McLaren,720S,2022,Rojo,261100.0,724,3.07,Reino Unido,SBMP2LVEYS5NUX6RJ
McLaren,720S,2017,Naranja,308700.0,713,2.66,Reino Unido,SBMY5KWAV7XFFDA56
Nissan,GT-R Nismo,2019,Gris,189700.0,582,2.83,Japón,JN1HEGX78Y5ME4MRR
Nissan,GT-R Nismo,2015,Blanco,199100.0,604,2.72,Japón,JN1C7P8LR0K3CRULP
Porsche,911 GT3 (992),2022,Amarillo,185200.0,514,3.24,Alemania,WP0S0WL9JEYW9J92L
Aston Martin,Vantage,2022,Verde lima,153200.0,487,3.6,Reino Unido,SCFDYJR3M9DE3BYSK
Porsche,911 Turbo S (992),2022,Gris,227600.0,679,2.85,Alemania,WP0XNSS4JJCS68L3K
BMW,M4 Competition (G82),2022,Azul,83900.0,499,3.77,Alemania,WBSDC0P69RUA36NXB
Ferrari,F8 Tributo,2021,Rojo burdeos,291600.0,726,3.01,Italia,ZFFU9SF27FSYKBR5W
Chevrolet,Corvette C8 Z06,2023,Amarillo,132900.0,667,2.87,EE.UU.,1G1YZE1XH6BRXUK86
Aston Martin,DBS Superleggera,2024,Azul eléctrico,315700.0,731,3.64,Reino Unido,SCFBS1SY47D7BB0VL
Lamborghini,Aventador S,2021,Rojo,337100.0,759,2.94,Italia,ZHW57ZKPAU0FK2JV8
Audi,R8 V10 Performance,2021,Rojo burdeos,173900.0,615,3.05,Alemania,WUAZD62F2C9KD8DNH
Porsche,911 GT3 (992),2022,Gris,168900.0,508,3.28,Alemania,WP0W5GU9D4HCPZAT9
Aston Martin,DBS Superleggera,2018,Rojo burdeos,277900.0,721,3.53,Reino Unido,SCFF4H77T4M5PMH9E
Bugatti,Chiron,2017,Amarillo,2858800.0,1515,2.41,Francia,VF9BKY6NJH63ALRBN
Chevrolet,Corvette C8 Z06,2023,Gris mate,141600.0,667,2.64,EE.UU.,1G1Z989RH3PFTWBVN
BMW,M4 Competition (G82),2022,Negro,70000.0,498,3.9,Alemania,WBS5KTL554F5A35JY
Ferrari,488 GTB,2023,Naranja,231100.0,686,3.12,Italia,ZFFXYZ7S0C0UNF2VA
McLaren,570S,2015,Gris,207800.0,577,3.3,Reino Unido,SBMYRAP7MF7JKXJGD
Ferrari,488 GTB,2018,Negro,193400.0,680,2.99,Italia,ZFFZ2WY3N0WMKN60N
Porsche,911 Turbo S (992),2024,Azul eléctrico,209200.0,648,2.71,Alemania,WP09T7Y09GEXSPKPU
Porsche,911 Turbo S (992),2023,Gris mate,223800.0,654,2.61,Alemania,WP0VA8NU0NC7CJ28S
Nissan,GT-R Nismo,2021,Gris mate,200100.0,599,2.54,Japón,JN1H7TYY8LSZR8761
Porsche,911 GT3 (992),2022,Rojo,217800.0,518,3.48,Alemania,WP0MU0UXJJY5UF9ZB
McLaren,570S,2021,Azul,186200.0,569,3.26,Reino Unido,SBMX6ZBC9E78S2HC9
Nissan,GT-R Nismo,2014,Gris,192100.0,623,2.88,Japón,JN1TKEEMUX3ZU3K7H
Chevrolet,Corvette C8 Stingray,2020,Naranja,79700.0,492,3.11,EE.UU.,1G1203LDJXH6UBGYP
Aston Martin,DBS Superleggera,2018,Gris mate,297900.0,731,3.38,Reino Unido,SCF8MPPPFHDR56872
McLaren,720S,2022,Negro,335700.0,726,3.02,Reino Unido,SBMXC928CTGNPV7U4
Audi,R8 V10 Performance,2023,Rojo,245500.0,641,2.86,Alemania,WUAAH8J23CSYZ4AVZ
Chevrolet,Corvette C8 Z06,2023,Naranja,128800.0,656,2.65,EE.UU.,1G1D0ZWZGKEJH7AE2
McLaren,570S,2019,Naranja,229300.0,564,3.16,Reino Unido,SBMH3FD70NPL5G8TJ
Aston Martin,DBS Superleggera,2023,Negro,319300.0,746,3.38,Reino Unido,SCFBG16RGDVELHDS9
BMW,M4 Competition (G82),2023,Naranja,124000.0,511,3.92,Alemania,WBSX5YBWBBCYBJ1KA
Porsche,911 Turbo S (992),2023,Azul,237300.0,659,2.53,Alemania,WP0WS6806RR17028F
Lamborghini,Huracán EVO,2023,Rojo,299000.0,648,2.87,Italia,ZHW06M5C8XVAKMX9F
Ferrari,F8 Tributo,2019,Amarillo,252200.0,709,2.87,Italia,ZFFJ6ZT90E1EUR9NJ
McLaren,570S,2016,Verde lima,169600.0,569,3.36,Reino Unido,SBMA7E6JN4M7P529B
Nissan,GT-R Nismo,2024,Gris mate,183000.0,580,2.77,Japón,JN1KJN6HYPG4099L9
Chevrolet,Corvette C8 Z06,2024,Amarillo,152300.0,662,2.5,EE.UU.,1G17UH95L8BRNLYUX
Nissan,GT-R Nismo,2017,Gris,234200.0,583,2.7,Japón,JN1TYYER5TE5FP0D1
Chevrolet,Corvette C8 Stingray,2020,Rojo,77800.0,522,2.72,EE.UU.,1G1NP8JW9TFDE3879
Chevrolet,Corvette C8 Z06,2023,Gris mate,133800.0,668,2.52,EE.UU.,1G14XA19P95F40T9B
Audi,R8 V10 Performance,2024,Negro,157700.0,622,3.09,Alemania,WUAXTMV0J7932BZA0
Chevrolet,Corvette C8 Z06,2024,Rojo burdeos,159000.0,681,2.54,EE.UU.,1G1ZKEUAH5R8DS3ES
Porsche,911 Turbo S (992),2024,Amarillo,161000.0,637,2.84,Alemania,WP0WXLSRA3PUCH664
Chevrolet,Corvette C8 Stingray,2024,Amarillo,100800.0,472,2.86,EE.UU.,1G14D0KCC2FH52X23
Aston Martin,DBS Superleggera,2020,Negro,299900.0,727,3.49,Reino Unido,SCFSZCLSN86MTZ6Z9
Ferrari,488 GTB,2019,Naranja,179700.0,657,2.94,Italia,ZFF9W55ED9AZMV8MJ
Chevrolet,Corvette C8 Stingray,2020,Gris mate,67600.0,480,2.8,EE.UU.,1G1RFD49Y609K5Y6W
Aston Martin,DBS Superleggera,2020,Amarillo,330100.0,731,3.49,Reino Unido,SCF4BWGXGV87Y2PJS
Nissan,GT-R Nismo,2016,Verde lima,140200.0,608,2.97,Japón,JN1PZLP5TZVG23F09
Lamborghini,Aventador S,2023,Verde lima,333500.0,738,2.97,Italia,ZHW5NWWW65B6SUCSM
Lamborghini,Huracán EVO,2022,Azul,299000.0,643,2.73,Italia,ZHWX7HW29X9DL2R3P
Nissan,GT-R Nismo,2024,Gris,191500.0,610,2.79,Japón,JN1HGB594HS5KVTDG
Porsche,911 Turbo S (992),2023,Blanco,216700.0,653,2.73,Alemania,WP0KACNTXXAUNR0C4
Porsche,911 GT3 (992),2023,Rojo,233600.0,490,3.71,Alemania,WP09W9YL7TG0V8V62
McLaren,720S,2019,Rojo burdeos,234900.0,711,2.9,Reino Unido,SBMRDNDC0PP1KKZ7Y
BMW,M4 Competition (G82),2023,Amarillo,107500.0,498,3.96,Alemania,WBSBWUPBAURJUJ656
Lamborghini,Huracán EVO,2022,Amarillo,191400.0,626,2.8,Italia,ZHWY6VZ2JTDEWR7CX
Lamborghini,Aventador S,2023,Rojo,245000.0,724,3.07,Italia,ZHWPEZJHGKTF0T201
Porsche,911 GT3 (992),2023,Blanco,137100.0,517,3.46,Alemania,WP0AUFSCS3U8RBSLA
Nissan,GT-R Nismo,2023,Gris,200000.0,603,2.99,Japón,JN1GALD551U0915R1
Porsche,911 GT3 (992),2023,Naranja,185800.0,515,3.57,Alemania,WP0FEKCFRG3H59167
BMW,M4 Competition (G82),2022,Amarillo,107300.0,517,3.87,Alemania,WBS4YPDS6Y1T4Y4DT
Chevrolet,Corvette C8 Z06,2024,Naranja,121000.0,679,2.83,EE.UU.,1G1BK0B27MNX0AG7C
Ferrari,488 GTB,2020,Amarillo,241700.0,652,2.97,Italia,ZFFD1L8E58HHXC5NJ
BMW,M4 Competition (G82),2024,Azul,82500.0,500,3.9,Alemania,WBSGBCHS6KADYUVUH
Aston Martin,DBS Superleggera,2020,Gris mate,230900.0,710,3.29,Reino Unido,SCF4VA2ZGTJNS17BL
Nissan,GT-R Nismo,2015,Azul,164100.0,608,2.83,Japón,JN1PP9L70L0MDWLE4
Chevrolet,Corvette C8 Z06,2023,Rojo burdeos,145500.0,668,2.78,EE.UU.,1G1TULLCC3YY2HT77
BMW,M4 Competition (G82),2024,Azul,111700.0,529,3.95,Alemania,WBS1J10WJ8S22M14X
Lamborghini,Aventador S,2022,Gris,335600.0,747,2.79,Italia,ZHW5LY3SKWY7P61E3
Ferrari,488 GTB,2021,Azul,312000.0,682,3.25,Italia,ZFFA5CP03G273K4GM
Chevrolet,Corvette C8 Z06,2023,Blanco,155100.0,669,2.77,EE.UU.,1G19TV7FXYHLXE5GJ
Lamborghini,Huracán EVO,2020,Gris mate,282300.0,653,2.76,Italia,ZHWD44Y3D0DWRCY6M
